Retriever,Faithfulness,Answer Relevancy,Context Precision,Context Recall,Average
Cohere Rerank,0.9597227067465163,0.9596282164719434,0.9305555555062499,0.9861111111111112,0.9590043974589552
Bm25,0.9092257387792652,0.9625826546505873,0.9069444444121874,0.9861111111111112,0.9412159872382877
Ensemble,0.9532217275343472,0.9609503406827895,0.781812169289606,0.9652777777777778,0.91531550382113
Naive,0.9287420912420913,0.956852196255792,0.7936342592163319,0.9444444444444445,0.905918247789665
